Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
Dragonchain,"Dragonchain offers users with the potential of blockchain through accessible, flexible, and secure platform.",https://www.crunchbase.com/organization/dragonchain-87e5,#REF!,,"Bellevue, Washington, United States",$1M to $10M,2017,"Bitcoin, Blockchain, Cryptocurrency, Information Technology, Software",,,23/02/2018,,Corporate Round,28292810,"Julian Sarokin, Alex Dahan",7,0.5,0.66,0,0.48,Emerging
LIV,LIV creates technology to share Virtual Reality experiences.,https://www.crunchbase.com/organization/liv,#REF!,,"Prague, Hlavni mesto Praha, Czech Republic",$1M to $10M,2016,"Augmented Reality, Gaming, Hardware, Video Streaming, Virtual Reality",,Early Stage Venture,19/11/2019,2600000,Series A,3700000,"Techstars, Seedcamp, Right Side Capital Management, Hiro Capital, HTC Vive",0,0.5,0.33,0,0.315,Nascent
Ario,Ario is an information technology company that combines the power of scalable web and mobile technologies with augmented reality.,https://www.crunchbase.com/organization/ario-a765,#REF!,,"Norfolk, Virginia, United States",$1M to $10M,2016,"Augmented Reality, Internet of Things, Software, Software Engineering",,Seed,26/08/2019,1500000,Grant,3802000,"Plug and Play Tech Center, Small Business Innovation Research, Center for Innovative Technology, NRV, 757 Angels",1,0.5,0.66,0,0.48,Emerging
Seed,"Seed is a mobile banking service designed for freelancers, startups, and small businesses.",https://www.crunchbase.com/organization/seed-2,#REF!,,"San Francisco, California, United States",$1M to $10M,2014,"Banking, Finance, Financial Services",,M&A,02/08/2018,,Seed,5890000,"General Catalyst, Andreessen Horowitz, SV Angel, Y Combinator, 8VC",0,0.5,0,0,0.15,Nascent
ndgit,ndgit ties banks and insurance firms with digital and creative fintech providers.,https://www.crunchbase.com/organization/ndgit,#REF!,,"Munich, Bayern, Germany",$1M to $10M,2015,"Banking, Information Technology, Insurance, Software",,Early Stage Venture,12/06/2018,4699397,Series A,5699397,"HV Capital, DvH Ventures, Capnamic Ventures, PROfounders Capital, Crossventures",,0.5,0.33,0,0.315,Nascent
Pillir,Pillir offers an application development platform that enables non-programmers to build mobile and web applications.,https://www.crunchbase.com/organization/appsfreedom,#REF!,,"Chandler, Arizona, United States",$1M to $10M,2013,"Enterprise Software, Mobile Apps, Software, Web Apps",,,29/10/2019,5250000,Venture - Series Unknown,9116668,"Keiretsu Forum Northwest, Grayhawk Capital, Audeo Capital",1,0.5,0.66,0,0.48,Emerging
Zerone Microsystems Private Limited,"We convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",https://www.crunchbase.com/organization/zerone-microsystems-private-limited,#REF!,,"Gurgaon, Haryana, India",,2009,"Apps, Financial Services, FinTech, Mobile Payments, Payments",,Seed,05/01/2021,1300000,Seed,1399688,"Indian Angel Network, The Chennai Angels, Anthill Ventures, IAN Fund, Raman Roy",1,1,0,0,0.3,Nascent
Mitto,Mitto is a debit card and app designed for “Generation Z” teens.,https://www.crunchbase.com/organization/getmitto,#REF!,,"Barcelona, Catalonia, Spain",,2019,"Financial Services, FinTech, Payments",,,30/08/2020,667772,Equity Crowdfunding,3541742,"Crowdcube, Banco Sabadell, Athos Capital, Wismichu, AuronPlay",,0.5,0.66,0,0.48,Emerging
Constellation Digital Partners,Constellation Digital Partners is a Digital Financial Services Platform.,https://www.crunchbase.com/organization/constellation-digital-partners,#REF!,,"Raleigh, North Carolina, United States",$1M to $10M,2017,"Cloud Data Services, Financial Services, FinTech, Information Technology",51-100,Early Stage Venture,01/05/2020,18000000,Series B,52500000,"CUNA Mutual Group, CO-OP Financial Services, CU Solutions Group, Affinity Federal Credit Union, CFCU Community Credit Union",1,0.5,1,1,0.85,Mature
FormFree,FormFree Holdings is a SaaS company that specializes in helping financial institutions assess customers’ ability to pay.,https://www.crunchbase.com/organization/formfree,#REF!,,"Atlanta, Georgia, United States",$1M to $10M,2008,"Financial Services, FinTech, Intellectual Property, SaaS, Software",,,05/01/2018,1000000,Convertible Note,1600000,,1,1,0.66,0,0.63,Mature
Penny,Penny is a personal finance app that takes the pain out of keeping track of your finances.,https://www.crunchbase.com/organization/penny-2,#REF!,,"San Francisco, California, United States",Less than $1M,2015,"Finance, Financial Services, Mobile",,M&A,20/03/2017,120000,Undisclosed,1320000,"Y Combinator, Social Capital, Arjun Sethi, David King",,0.5,0,0,0.15,Nascent
OnCorps,OnCorps is a provider of decision and behavioral science into machine learning nudges to help people make better decisions.,https://www.crunchbase.com/organization/oncorps,#REF!,,"Boston, Massachusetts, United States",Less than $1M,2011,"Analytics, Artificial Intelligence, Collaboration, Data Integration, Data Visualization, Enterprise Software, Machine Learning, Predictive Analytics",,,01/10/2019,2344794,Venture - Series Unknown,9068003,"Andreessen Horowitz, Daniel Petrozzo, Jack Klinck, Nicholas Christakis, Joe Dello Russo",0,1,0.66,0,0.63,Mature
Rev Worldwide,Fintech company focused on developing payment product innovations around the world leveraging a proprietary processing platform.,https://www.crunchbase.com/organization/rev-worldwide,#REF!,,"Austin, Texas, United States",$10M to $50M,2009,"Debit Cards, Financial Services, FinTech, Mobile, Mobile Payments, Payments, Transaction Processing",51-100,Late Stage Venture,08/05/2018,,Convertible Note,10015940,"IA Capital Group, NBD Ventures",5,1,0.66,1,0.83,Mature
figo,figo is a banking service provider.,https://www.crunchbase.com/organization/figo,#REF!,,"Hamburg, Hamburg, Germany",$1M to $10M,2012,"Banking, Finance, Financial Services, FinTech, Personal Finance",,,24/03/2017,,Venture - Series Unknown,10908249,"High-Tech Grunderfonds, Deutsche Borse, Shervin Pishevar, ACME Capital, Redstone",0,0.5,0.66,0,0.48,Emerging
Incuto,"Banking technology platform, transforming Credit Unions into community-focused challenger banks.",https://www.crunchbase.com/organization/incuto,#REF!,,"Ilkley, Bradford, United Kingdom",Less than $1M,2016,"Banking, Blockchain, FinTech, Payments",,,13/11/2020,2309124,Venture - Series Unknown,3277235,"Wayra, Ascension, The Future Fund, Northstar Ventures, European regional development fund (ERDF)",,0.5,0.66,0,0.48,Emerging
Minka,Minka is a financial services cloud that enables fintechs to build solutions in days instead of years.,https://www.crunchbase.com/organization/minka-2,#REF!,,"Bogotá, Distrito Especial, Colombia",Less than $1M,2015,"Blockchain, Financial Services, FinTech, Venture Capital",,Seed,14/05/2020,3000000,Seed,3500000,"Collaborative Fund, Colle Capital Partners, FinTech Collective, Kai Schmitz",,0.5,0,0,0.15,Nascent
D3 Banking Technology,"D3 Banking offers a function-rich, API-driven digital banking platform for financial institutions.",https://www.crunchbase.com/organization/d3-banking-technology,#REF!,,"Omaha, Nebraska, United States",$50M to $100M,2007,"Banking, Financial Services, FinTech, Information Technology, Software",101-250,M&A,03/04/2018,1455500,Convertible Note,34942808,"Invest Nebraska, Treetop Ventures",0,1,0.66,1,0.83,Mature
Open Payments,Open Payments is a PSD2-compliant infrastructure platform that allows users to access diverse banks through a single API.,https://www.crunchbase.com/organization/open-payments-europe,#REF!,,"Stockholm, Stockholms Lan, Sweden",Less than $1M,2017,"Banking, Developer APIs, FinTech, Payments",,Seed,24/08/2020,3538111,Seed,4878308,"Industrifonden, Luminar Ventures, Brightly Ventures",,0.5,0,0,0.15,Nascent
Teller,Teller provides your app with beautiful account enrollment screens that send all sensitive data directly to our secure servers.,https://www.crunchbase.com/organization/teller-inc,#REF!,,"London, England, United Kingdom",$1M to $10M,2018,"Financial Services, Software",,Seed,27/01/2020,4000000,Seed,4000000,"Lightspeed Venture Partners, Founders Fund, SciFi VC",,0.5,0,0,0.15,Nascent
Rho Business Banking,Rho Business Banking is a digital banking platform for startups and high-growth companies.,https://www.crunchbase.com/organization/rho-business-banking,#REF!,,"New York, New York, United States",$1M to $10M,2018,"Banking, Finance, Financial Services, FinTech",,Early Stage Venture,29/04/2021,100000000,Debt Financing,119900000,"M13, Interplay Ventures, Torch Capital, Michael Vaughan, Community Investment Management",0,0.5,0.66,0,0.48,Emerging
Cybertonica,"Cybertonica uses Machine Learning and AI to manage risk and fraud, increasing trust and growing frictionless banking and m/e-payments.",https://www.crunchbase.com/organization/cybertonica,#REF!,,"London, England, United Kingdom",$1M to $10M,2015,"Artificial Intelligence, FinTech, Fraud Detection, Machine Learning, Payments, Risk Management",,Early Stage Venture,14/01/2020,2604261,Series A,3037282,"Startupbootcamp, Force Over Mass Capital, TrueSight Ventures, Springboard, Digital Space Ventures",,0.5,0.33,0,0.315,Nascent
Subaio,Subaio is a software company that creates products and services that simplifies people's lives.,https://www.crunchbase.com/organization/subaio,#REF!,,"Aalborg, Nordjylland, Denmark",$1M to $10M,2016,"Big Data, Financial Services, FinTech, Information Technology, Insurance, Payments, Robotics",,Early Stage Venture,25/02/2021,4863174,Series A,4863175,"Plug and Play Tech Center, Nordea, Global PayTech Ventures",,0.5,0.33,0,0.315,Nascent
Personetics,Personetics is a provider of data-driven personalization and customer engagement tools for banks and financial services companies.,https://www.crunchbase.com/organization/personetics-technologies,#REF!,,"New York, New York, United States",$1M to $10M,2010,"Analytics, Finance, Financial Services, FinTech, Information Technology, Personalization",251-500,Private Equity,16/02/2021,75000000,Private Equity,93000000,"Sequoia Capital, Nyca Partners, Lightspeed Venture Partners, Warburg Pincus, Mouro Capital",,1,0.66,1,0.83,Mature
Multiply,Multiply provides independent financial advice service.,https://www.crunchbase.com/organization/multiply-0240,#REF!,,"London, England, United Kingdom",$1M to $10M,2016,"Financial Services, Information Services",,,05/06/2018,2681414,Venture - Series Unknown,2681414,"Taavet Hinrikus, Octopus Ventures, Portage Ventures, Will Brooks, Will Martin",,0.5,0.66,0,0.48,Emerging
Starburst Labs,"Starburst Labs makes and operates web-and-mobile apps for investors, advisors, broker-dealers, and financial brands.",https://www.crunchbase.com/organization/gotham-tech-labs-inc,#REF!,,"New York, New York, United States",$1M to $10M,2012,"Apps, Enterprise Software, Finance, FinTech, Information Technology, Internet",,Early Stage Venture,02/12/2019,1000000,Debt Financing,11250000,Bel45 Capital Partners,0,0.5,0.66,0,0.48,Emerging
Vitesse PSP,Vitesse is the smart way to make secure global money transfers.,https://www.crunchbase.com/organization/vitesse-psp,#REF!,,"London, England, United Kingdom",$1M to $10M,2013,"Apps, FinTech, Information Technology, Payments",,Early Stage Venture,11/08/2020,8613860,Series A,9613860,"Octopus Ventures, Hoxton Ventures",,0.5,0.33,0,0.315,Nascent
Mirador,Mirador is a front-end small business lending platform supporting established lenders with application through underwriting.,https://www.crunchbase.com/organization/mirador-financial,#REF!,,"Portland, Oregon, United States",$1M to $10M,2014,"Banking, Financial Services, FinTech, Information Technology",,M&A,30/11/2015,7000000,Series A,9700000,"Collaborative Fund, Crosslink Capital, Nyca Partners, Vesta Corporation, Core Innovation Capital",0,0.5,0.33,0,0.315,Nascent
Manager.one,"Manager.one is the fully online banking platform that caters to all types of entrepreneurs ,as well as the association sector.",https://www.crunchbase.com/organization/manager-one,#REF!,,"Paris, Ile-de-France, France",$1M to $10M,2016,"Banking, Financial Services, Professional Services",,Early Stage Venture,30/08/2019,3000000,Series A,5366248,"Financiere Saint James, Michael Benabou, Laurent Dassault, Alain Krzentowski, Didier Rosenberg",,0.5,0.33,0,0.315,Nascent
Secure,Secure provides a purpose-built emergency savings solution.,https://www.crunchbase.com/organization/secure-35ea,#REF!,,"Kirkland, Washington, United States",,2020,"Employee Benefits, Financial Services",,Seed,13/01/2021,3500000,Seed,3500000,"IA Ventures, PSL Ventures, Bloom venture partners, SeaChange",0,0,0,0,0,Nascent
Trooly,"Trooly delivers Instant Trust™ services that verify, screen and predict trustworthy relationships and interactions. #FinTech #P2P",https://www.crunchbase.com/organization/troo-ly,#REF!,,"Los Altos, California, United States",Less than $1M,2014,"FinTech, Machine Learning, Risk Management, SaaS, Sharing Economy",,M&A,20/06/2016,10000000,Series A,10000000,"Bain Capital Ventures, Milliways Ventures",,0.5,0.33,0,0.315,Nascent
Payhawk,"Payhawk is the financial system of tomorrow that combines credit cards, payments, expenses and cash into one integrated experience.",https://www.crunchbase.com/organization/payhawk,#REF!,,"London, England, United Kingdom",Less than $1M,2018,"Accounting, Finance, Financial Services, FinTech, Payments, Software",,Early Stage Venture,20/04/2021,20000000,Series A,24068940,"QED Investors, Earlybird Venture Capital, Eleven Ventures, Tiny VC, Vassil Terziev",,0.5,0.33,0,0.315,Nascent
Finantier,Finantier provides the infrastructure and data products required by businesses to build the next generation of financial services in SEA.,https://www.crunchbase.com/organization/finantier,#REF!,,"Jakarta, Jakarta Raya, Indonesia",,2020,"Financial Services, FinTech, Information Technology, Payments, Software",,Seed,15/06/2021,,Seed,,"Y Combinator, East Ventures, Global Founders Capital, Partech, Saison Capital",,0,0,0,0,Nascent
Qualpay,"Qualpay is a San Mateo, California-based multichannel merchant",https://www.crunchbase.com/organization/qualpay,#REF!,,"San Mateo, California, United States",$1M to $10M,2014,"Financial Services, FinTech",,Early Stage Venture,30/09/2015,8000000,Series A,8000000,Keiretsu Forum Northwest,0,0.5,0.33,0,0.315,Nascent
Simplifier,Simplifier is a web-based platform to configure and run integrated business applications.,https://www.crunchbase.com/organization/itizzimo,#REF!,,"Würzburg, Bayern, Germany",$1M to $10M,2012,"Augmented Reality, Enterprise Applications, Enterprise Software, Information Technology, Internet, Internet of Things, Software",51-100,Early Stage Venture,01/04/2016,5696687,Series A,5696688,,,0.5,0.33,1,0.515,Emerging
SPARQ,Community-based Personal Finance Platform,https://www.crunchbase.com/organization/sparq-7013,#REF!,,"Tallinn, Harjumaa, Estonia",,2019,"Financial Services, FinTech",,Seed,25/09/2020,511761,Seed,620222,Baltic International Bank AS,,0.5,0,0,0.15,Nascent
PayFi,"Marketplace allowing Businesses & Banks to partner via a regulatory compliant payment platform, a Easy Button for real time digital payments",https://www.crunchbase.com/organization/push-payments,#REF!,,"Fort Lauderdale, Florida, United States",$1M to $10M,2016,"Banking, Billing, Developer APIs, Financial Services, Information Technology, Mobile Payments, Real Time, Transaction Processing",,M&A,01/08/2017,500000,Venture - Series Unknown,2450000,"Will Graylin, Avidia Bank",,0.5,0.66,0,0.48,Emerging
Gro Solutions,Gro Solutions provides a digital sales platform to drive acquisition growth for banks and credit unions,https://www.crunchbase.com/organization/gro-solutions,#REF!,,"Atlanta, Georgia, United States",$100M to $500M,2015,"Banking, Financial Services, Sales",,M&A,20/03/2017,4250000,Series A,4250000,"TTV Capital, BIP Capital, BLH Venture Partners, Croft & Bender",0,0.5,0.33,0,0.315,Nascent
MoneeMint,MoneeMint provides banking services.,https://www.crunchbase.com/organization/ummah-finance-limited,#REF!,,"London, England, United Kingdom",,2016,"Banking, Finance, Financial Services, FinTech",,Seed,01/08/2020,130853,Pre-Seed,845354,Ground 1 Ventures,,0.5,0.66,0,0.48,Emerging
Standard Tokenization Protocol,STP Network is an open-source standard defining tokenized assets are issued and transferred while complying with all necessary regulations.,https://www.crunchbase.com/organization/standard-tokenization-protocol,#REF!,,"Singapore, Central Region, Singapore",,2019,"Asset Management, Blockchain",,,29/05/2019,7000000,Initial Coin Offering,7000000,"Alphabit Fund, NEO Global Capital (NGC), BlockVC",,0.5,0.66,0,0.48,Emerging
Wallet Engine,International gateway for embedded finance,https://www.crunchbase.com/organization/cheers-global-wallets,#REF!,,"Singapore, Central Region, Singapore",,2019,"B2B, FinTech, Infrastructure, Internet, Mobile Payments, Payments, Peer to Peer, Software",,Seed,31/12/2019,200000,Convertible Note,1400000,,,0.5,0.66,0,0.48,Emerging
Next Gate Tech,Next Gate Tech is a Data-driven FundTech that provides innovative Software-as-a-Service solutions for the asset management industry.,https://www.crunchbase.com/organization/next-gate-tech,#REF!,,"Luxembourg, Luxembourg, Luxembourg",$1M to $10M,2019,"Information Technology, SaaS, Software",,Seed,08/07/2020,2267573,Seed,2267574,"Middlegame Ventures, Expon Capital, Be Angels, Seeder Fund",0,0.5,0,0,0.15,Nascent
RocketBank,RocketBank offers financial services through smartphones.,https://www.crunchbase.com/organization/rocketbank,#REF!,,"Moscow, Moscow City, Russian Federation",$1M to $10M,2012,"Banking, Finance, Financial Services, Mobile",101-250,M&A,05/12/2014,,Convertible Note,2000000,"Runa Capital, Life.SREDA",,0.5,0.66,1,0.68,Mature
Particeep,"Particeep offers banks, insurers and asset management companies turnkey solutions and open API to sell their products on any online channel",https://www.crunchbase.com/organization/particeep,#REF!,,"Paris, Ile-de-France, France",Less than $1M,2013,"Asset Management, Banking, Crowdfunding, Financial Services, FinTech, Insurance",,,16/02/2021,2417648,Venture - Series Unknown,5079865,"Bpifrance, AXA Venture Partners, Sopra Steria, Truffle Capital, AXA Seed Factory",,0.5,0.66,0,0.48,Emerging
MyCash Online,MyCash Online is a financial services company.,https://www.crunchbase.com/organization/mycash-online,#REF!,,"Selangor, Selangor, Malaysia",$1M to $10M,2016,"E-Commerce, Financial Services, Internet, Marketplace",,,01/09/2020,,Venture - Series Unknown,190889,"500 Startups, Cradle Fund Sdn Bhd (Cradle), Pitch@Palace, JC Management, Ng Sek San",,0.5,0.66,0,0.48,Emerging
Nupay,NUPAY is a next generation ‘Neo Banking’ Business Payments Platform for Large Enterprises,https://www.crunchbase.com/organization/nupay,#REF!,,"Haryana, Haryana, India",$1M to $10M,2018,"Financial Services, FinTech, Mobile Payments, Payments",,Seed,23/01/2020,800000,Seed,800000,Venture Catalysts,,0.5,0,0,0.15,Nascent
Manigo,Manigo is a full stack Banking as a Service (BaaS) provider,https://www.crunchbase.com/organization/manigo,#REF!,,"London, England, United Kingdom",$1M to $10M,2015,"Banking, Financial Services, FinTech, Payments, Transaction Processing",,,12/01/2018,701082,Equity Crowdfunding,701083,"Crowdcube, Level39",0,0.5,0.66,0,0.48,Emerging
WalletFi,WalletFi is the Subscription Management solution for Financial Institutions and Fintechs,https://www.crunchbase.com/organization/walletfi,#REF!,,"Raleigh, North Carolina, United States",,2016,"Banking, FinTech, Personal Finance",,Seed,15/04/2020,110000,Convertible Note,895000,"MassChallenge, FIS, Hatteras Venture Partners, The FIS FinTech Accelerator in Partnership with The Venture Center, RTP Capital Associates",,0.5,0.66,0,0.48,Emerging
Lloyds Banking Group,Lloyds Banking Group plc is a major British financial institution formed through the acquisition of HBOS by Lloyds TSB in 2009.,https://www.crunchbase.com/organization/lloyds-bank,#REF!,,"London, England, United Kingdom",$1B to $10B,2009,"Banking, Financial Services",10001+,IPO,,,,,,4,1,0.33,1,0.665,Mature
FINCA Impact Finance,FINCA Impact Finance is provides socially responsible financial services to enable low-income individuals and communities.,https://www.crunchbase.com/organization/finca-impact-finance,#REF!,,"Washington, District of Columbia, United States",,1984,"Finance, Financial Services",10001+,,27/04/2020,15000000,Debt Financing,15000000,Calvert Impact Capital,,1,0.66,1,0.83,Mature
Sandbox Banking,Sandbox Banking strives to provide personalized and cost-effective investment solutions.,https://www.crunchbase.com/organization/sandbox-banking,#REF!,,"Boston, Massachusetts, United States",Less than $1M,2014,"Banking, Data Integration, Financial Services, FinTech, Innovation Management",,Seed,22/03/2017,570000,Seed,775000,"Y Combinator, Startupbootcamp, SixThirty, FinTech Sandbox, Blacktop Capital",,0.5,0,0,0.15,Nascent
Wallit,Wallit operates as a rewards-based financial wellness platform and a free savings app to reward everyday savings.,https://www.crunchbase.com/organization/wallit-24eb,#REF!,,"Westbrook, Maine, United States",Less than $1M,2016,"Finance, FinTech, Information Technology",,Seed,16/09/2019,2600000,Seed,2900000,"Mendoza Ventures, BoxOne Ventures, Maine Technology Institute, BlueIO",0,0.5,0,0,0.15,Nascent
Responsive,The enterprise hybrid wealth management solution for service excellence and actionable insights.,https://www.crunchbase.com/organization/responsive-capital-management-2,#REF!,,"Vancouver, British Columbia, Canada",,2015,"Finance, Financial Services, FinTech, Wealth Management",,Seed,14/09/2018,843589,Seed,1093590,"Plug and Play Tech Center, Stonewood Investors, Edwin Blewett",1,0.5,0,0,0.15,Nascent
Gremlin Social,Gremlin Social provides social media marketing and compliance tools for financial institutions,https://www.crunchbase.com/organization/gremln,#REF!,,"St Louis, Missouri, United States",Less than $1M,2011,"Compliance, Marketing Automation, Social Media Management, Social Media Marketing",,M&A,26/04/2019,300000,Debt Financing,4743452,"SixThirty, Tech Coast Angels, Cultivation Capital, iSELECT FUND, Capital Innovators",0,1,0.66,0,0.63,Mature
StreetShares,"StreetShares is a small business banking software for mission-driven banks and credit unions, offer to purchase, any securities.",https://www.crunchbase.com/organization/streetshares,#REF!,,"Reston, Virginia, United States",$10M to $50M,2013,"Banking, Financial Services, Software",,Seed,02/05/2014,1200000,Seed,1200000,,,0.5,0,0,0.15,Nascent
Chargehound,Chargehound is a comprehensive chargeback solution that makes handling disputes easy.,https://www.crunchbase.com/organization/chargehound,#REF!,,"Oakland, California, United States",$1M to $10M,2016,"Apps, Financial Services, Internet",,M&A,25/03/2014,120000,Seed,120000,"Y Combinator, Initialized Capital, Quotidian Ventures, David Hodge",,0.5,0,0,0.15,Nascent
Connect Financial Software Solutions,"Connect Financial Software Solutions engages in developing, operating, and managing software solutions for its clients.",https://www.crunchbase.com/organization/connect-financial-software-solutions,#REF!,,"Murray, Utah, United States",$1M to $10M,2007,"Customer Service, Enterprise Software, Financial Services, Information Technology, Software",,Seed,18/07/2016,2625000,Debt Financing,6650000,,,1,0.66,0,0.63,Mature
UniBank for Savings,UniBank for Savings is a financial services company offering business and personal banking services.,https://www.crunchbase.com/organization/unibank-for-savings,#REF!,,"Whitinsville, Massachusetts, United States",$10M to $50M,,"Banking, Financial Services",251-500,,02/10/2020,10000000,Debt Financing,10000000,,1,1,0.66,1,0.83,Mature
Trovata,"Trovata is a data-driven enterprise fintech platform that specializes in cash flow analysis, automation, and data science.",https://www.crunchbase.com/organization/trovata,#REF!,,"San Diego, California, United States",$1M to $10M,2016,"Enterprise Software, Financial Services, FinTech, Software",,Early Stage Venture,19/01/2021,20000000,Series A,30550000,"JP Morgan, Wells Fargo Strategic Capital, FINTOP Capital, Capital One Growth Ventures, Pivot Investment Partners",0,0.5,0.33,0,0.315,Nascent
Zaam,Zaam improves business onboarding processes for data collection.,https://www.crunchbase.com/organization/zaam,#REF!,,"Palo Alto, California, United States",Less than $1M,,"Cloud Data Services, Finance, SaaS",,Seed,16/03/2020,150000,Seed,150000,"Y Combinator, Soma Capital",,1,0,0,0.3,Nascent
Green Dot,Green Dot Corporation provides retail-based financial services for businesses and money management solutions for consumers based in the U.S.,https://www.crunchbase.com/organization/green-dot-corporation,#REF!,,"Pasadena, California, United States",$100M to $500M,1999,"Finance, Financial Services",1001-5000,IPO,01/11/2009,,Private Equity,33000000,"Sequoia Capital, TCV, Tech Coast Angels, Kenneth Leiter",14,1,0.66,1,0.83,Mature
Unity Trust Bank,Unity Trust Bank provides specialist banking services for trade unions and charities in the United Kingdom.,https://www.crunchbase.com/organization/unity-trust-bank,#REF!,,"Birmingham, Birmingham, United Kingdom",$10M to $50M,1984,"Banking, Charity, Communities, Finance, Financial Services",51-100,,17/04/2018,8578045,Venture - Series Unknown,8578046,SFRE Fund,,1,0.66,1,0.83,Mature
Chargify,Chargify is a subscription billing software service that offers a recurring billing and subscription management space.,https://www.crunchbase.com/organization/chargify,#REF!,,"San Antonio, Texas, United States",$1M to $10M,2009,"Billing, E-Commerce, Financial Services, SaaS, Software",51-100,M&A,21/04/2021,,Venture - Series Unknown,,"Battery Ventures, Mark Cuban",0,1,0.66,1,0.83,Mature
Brite,"Brite provides a curriculum, tools, and resources designed to empower communities to teach kids to code.",https://www.crunchbase.com/organization/brite-2227,#REF!,,"Bothell, Washington, United States",,,"E-Learning, EdTech, Information Technology",,Seed,25/01/2021,120000,Pre-Seed,120000,"Techstars, Techstars Seattle Accelerator",,1,0.66,0,0.63,Mature
CreditVidya,CreditVidya offers alternate data based credit scores for underwriting first time borrowers using machine learning and big data analytics.,https://www.crunchbase.com/organization/creditvidya,#REF!,,"Mumbai, Maharashtra, India",$1M to $10M,2012,"Credit, Financial Services, FinTech, Machine Learning, Risk Management",51-100,Early Stage Venture,28/01/2019,3000000,Series B,10098300,"Matrix Partners, Kalaari Capital, Bharat Innovation Fund, Navroz D. Udwadia, Siddharth Parekh",,0.5,1,1,0.85,Mature
Edukate,Edukate is a workplace financial wellness provider with a mission to provide every person access to expert financial guidance.,https://www.crunchbase.com/organization/edukate,#REF!,,"Orlando, Florida, United States",Less than $1M,2013,"Employee Benefits, FinTech, Personal Finance, Wellness",,Seed,29/01/2018,266526,Seed,266526,,0,0.5,0,0,0.15,Nascent
Pangea Money Transfer,Pangea Money Transfer is a global remittance and underbanked financial services provider.,https://www.crunchbase.com/organization/pangea,#REF!,,"Chicago, Illinois, United States",Less than $1M,2012,"Finance, Financial Services, FinTech, Mobile Payments, Payments, Transaction Processing",,M&A,01/07/2019,750000,Venture - Series Unknown,32735048,"OCA Ventures, Jump Capital, Impact Engine, IGNIA, Chicago Ventures",1,0.5,0.66,0,0.48,Emerging
Brankas,Brankas is a fintech company that provides financial software and solutions.,https://www.crunchbase.com/organization/brankas,#REF!,,"Dki Jakarta, Jakarta Raya, Indonesia",Less than $1M,2016,"Financial Services, FinTech, Internet, Software",,Early Stage Venture,22/11/2019,,Series A,,Plug and Play Tech Center,,0.5,0.33,0,0.315,Nascent
United,United provides technical and creative support for multimedia audiovisual productions.,https://www.crunchbase.com/organization/united,#REF!,,"Hilversum, Noord-Holland, The Netherlands",$10M to $50M,1988,"Broadcasting, Digital Entertainment, Sports",251-500,,,,,,,0,1,0.33,1,0.665,Mature
Visible Capital,Visible Capital uses PSD2/Open Banking data to automate the collection of information required to onboard customers.,https://www.crunchbase.com/organization/visible-capital,#REF!,,"Edinburgh, Edinburgh, City of, United Kingdom",,2018,"Financial Services, FinTech, Information Technology",,Seed,05/12/2019,651320,Seed,651321,Techstart Ventures,,0.5,0,0,0.15,Nascent
TransCard,TransCard is a financial-technology company focused on account-based payment solutions and a corporate funds disbursement gateway.,https://www.crunchbase.com/organization/transcard,#REF!,,"Chattanooga, Tennessee, United States",$1M to $10M,2012,"B2B, Banking, Data Visualization, Financial Services, FinTech, Gift Card, Mobile, Transaction Processing",101-250,,,,,,,0,0.5,0.33,1,0.515,Emerging
Paisabazaar.com,Paisabazaar.com is an online marketplace for all lending and investment products,https://www.crunchbase.com/organization/paisabazaar-com,#REF!,,"Gurgaon, Haryana, India",$10M to $50M,2014,"Financial Services, FinTech, Marketplace",1001-5000,,,,,,,,0.5,0.33,1,0.515,Emerging
Launcher.Solutions,A technology services and products provider .,https://www.crunchbase.com/organization/launcher-solutions,#REF!,,"Jacksonville, Florida, United States",$1M to $10M,2016,"Finance, Information Services, Information Technology",,Early Stage Venture,14/03/2017,5000000,Series A,5000000,Lucor Holdings,0,0.5,0.33,0,0.315,Nascent
Decentro,Decentro develops an API banking software platform designed to launch products in a hassle free way.,https://www.crunchbase.com/organization/decentro,#REF!,,"Singapore, Central Region, Singapore",,2020,"Financial Services, FinTech, Software",,Seed,11/02/2021,,Seed,,"FundersClub, Y Combinator, VentureSouq, Plug and Play Tech Center, Unpopular Ventures",,0,0,0,0,Nascent
NuMoola,NuMoola allows adult and child contribution to a real savings account while teaching good savings habits through gaming.,https://www.crunchbase.com/organization/numoola,#REF!,,"Miami, Florida, United States",Less than $1M,2017,"Finance, FinTech, Gaming, Online Portals",,Seed,01/08/2017,250000,Angel,250000,SteelBridge Laboratories,,0.5,0.66,0,0.48,Emerging
Sophtron,Sophtron is an online platform designed to fuel business growth by aggregating proprietary data.,https://www.crunchbase.com/organization/sophtron,#REF!,,"Seattle, Washington, United States",,2016,"Analytics, Machine Learning, Natural Language Processing, Software",,,05/02/2020,500000,Venture - Series Unknown,500000,,,0.5,0.66,0,0.48,Emerging
